"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1839","Check displaying of dashboard page","LMS system","2026-01-21","passed","2026-01-21","Dashboard","Dashboard","",""
"","1515","Create course","LMS system","2026-01-21","broken","2026-01-21","Courses","Courses","",""
"","1686","User login with wrong email or password","LMS system","2026-01-21","passed","2026-01-21","Authorization","Authentication","",""
"","1546","Edit course","LMS system","2026-01-21","broken","2026-01-21","Courses","Courses","",""
"","1246","User login with wrong email or password","LMS system","2026-01-21","passed","2026-01-21","Authorization","Authentication","",""
"","2188","User login with wrong email or password","LMS system","2026-01-21","passed","2026-01-21","Authorization","Authentication","",""
"","1838","Check displaying of dashboard page","LMS system","2026-01-21","passed","2026-01-21","Dashboard","Dashboard","",""
"","1578","Navigation from login page to registration page","LMS system","2026-01-21","passed","2026-01-21","Authorization","Authentication","",""
"","1656","Navigation from login page to registration page","LMS system","2026-01-21","passed","2026-01-21","Authorization","Authentication","",""
"","1501","Create course","LMS system","2026-01-21","broken","2026-01-21","Courses","Courses","",""
"","1954","User login with wrong email or password","LMS system","2026-01-21","passed","2026-01-21","Authorization","Authentication","",""
"","4042","User login with correct email and password","LMS system","2026-01-21","passed","2026-01-21","Authorization","Authentication","",""
"","2132","Registration with correct email, username and password","LMS system","2026-01-21","passed","2026-01-21","Registration","Authentication","",""
"","1380","Check displaying of empty courses list","LMS system","2026-01-21","passed","2026-01-21","Courses","Courses","",""
"","1834","User login with wrong email or password","LMS system","2026-01-21","passed","2026-01-21","Authorization","Authentication","",""
"","2027","Registration with correct email, username and password","LMS system","2026-01-21","passed","2026-01-21","Registration","Authentication","",""
"","1875","Edit course","LMS system","2026-01-21","broken","2026-01-21","Courses","Courses","",""
"","1749","User login with wrong email or password","LMS system","2026-01-21","passed","2026-01-21","Authorization","Authentication","",""
"","1661","Check displaying of empty courses list","LMS system","2026-01-21","passed","2026-01-21","Courses","Courses","",""
"","2683","User login with correct email and password","LMS system","2026-01-21","passed","2026-01-21","Authorization","Authentication","",""
