2025-12-24 17:24:11,936 | BASE_ELEMENT | INFO | Checking that text "Min score" is visible
2025-12-24 17:24:11,946 | BASE_ELEMENT | INFO | Getting locator with "data-testid=course-min-score-info-row-view-text" at index "0"
2025-12-24 17:24:11,946 | BASE_ELEMENT | INFO | Checking that text "Min score" has text "Min score: 10"
2025-12-24 17:24:11,954 | BASE_ELEMENT | INFO | Getting locator with "data-testid=course-estimated-time-info-row-view-text" at index "0"
2025-12-24 17:24:11,954 | BASE_ELEMENT | INFO | Checking that text "Estimated time" is visible
2025-12-24 17:24:11,962 | BASE_ELEMENT | INFO | Getting locator with "data-testid=course-estimated-time-info-row-view-text" at index "0"
2025-12-24 17:24:11,962 | BASE_ELEMENT | INFO | Checking that text "Estimated time" has text "Estimated time: 2 weeks"
2025-12-24 17:24:11,971 | BASE_ELEMENT | INFO | Getting locator with "data-testid=course-view-menu-button" at index "0"
2025-12-24 17:24:11,971 | BASE_ELEMENT | INFO | Clicking button "Menu"
2025-12-24 17:24:12,034 | BASE_ELEMENT | INFO | Getting locator with "data-testid=course-view-edit-menu-item" at index "0"
2025-12-24 17:24:12,035 | BASE_ELEMENT | INFO | Checking that button "Edit" is visible
2025-12-24 17:24:12,072 | BASE_ELEMENT | INFO | Getting locator with "data-testid=course-view-edit-menu-item" at index "0"
2025-12-24 17:24:12,072 | BASE_ELEMENT | INFO | Clicking button "Edit"
2025-12-24 17:24:12,427 | INPUT | INFO | Fill input "Title" to value "New Playwright"
2025-12-24 17:24:12,427 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-title-input" at index "0"
2025-12-24 17:24:12,479 | INPUT | INFO | Check that input "Title" has a value "New Playwright"
2025-12-24 17:24:12,479 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-title-input" at index "0"
2025-12-24 17:24:12,498 | INPUT | INFO | Fill input "Estimated time" to value "3 weeks"
2025-12-24 17:24:12,498 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-estimated-time-input" at index "0"
2025-12-24 17:24:12,650 | INPUT | INFO | Check that input "Estimated time" has a value "3 weeks"
2025-12-24 17:24:12,650 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-estimated-time-input" at index "0"
2025-12-24 17:24:12,780 | TEXTAREA | INFO | Fill textarea "Description" to value "New Playwright"
2025-12-24 17:24:12,780 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-description-input" at index "0"
2025-12-24 17:24:12,811 | TEXTAREA | INFO | Check have textarea "Description" to value
2025-12-24 17:24:12,811 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-description-input" at index "0"
2025-12-24 17:24:12,936 | INPUT | INFO | Fill input "Max score" to value "1000"
2025-12-24 17:24:12,937 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-max-score-input" at index "0"
2025-12-24 17:24:13,094 | INPUT | INFO | Check that input "Max score" has a value "1000"
2025-12-24 17:24:13,094 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-max-score-input" at index "0"
2025-12-24 17:24:13,105 | INPUT | INFO | Fill input "Min score" to value "100"
2025-12-24 17:24:13,105 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-min-score-input" at index "0"
2025-12-24 17:24:13,355 | INPUT | INFO | Check that input "Min score" has a value "100"
2025-12-24 17:24:13,355 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-min-score-input" at index "0"
2025-12-24 17:24:13,370 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-toolbar-create-course-button" at index "0"
2025-12-24 17:24:13,370 | BASE_ELEMENT | INFO | Clicking button "Create course"
2025-12-24 17:24:13,781 | BASE_ELEMENT | INFO | Getting locator with "data-testid=courses-list-toolbar-title-text" at index "0"
2025-12-24 17:24:13,781 | BASE_ELEMENT | INFO | Checking that text "Courses" is visible
2025-12-24 17:24:13,854 | BASE_ELEMENT | INFO | Getting locator with "data-testid=courses-list-toolbar-title-text" at index "0"
2025-12-24 17:24:13,854 | BASE_ELEMENT | INFO | Checking that text "Courses" has text "Courses"
2025-12-24 17:24:13,863 | BASE_ELEMENT | INFO | Getting locator with "data-testid=courses-list-toolbar-create-course-button" at index "0"
2025-12-24 17:24:13,863 | BASE_ELEMENT | INFO | Checking that button "Create course" is visible
2025-12-24 17:24:13,872 | BASE_ELEMENT | INFO | Getting locator with "data-testid=course-preview-image" at index "0"
2025-12-24 17:24:13,872 | BASE_ELEMENT | INFO | Checking that image "Preview" is visible
2025-12-24 17:24:13,897 | BASE_ELEMENT | INFO | Getting locator with "data-testid=course-widget-title-text" at index "0"
2025-12-24 17:24:13,897 | BASE_ELEMENT | INFO | Checking that text "Title" is visible
2025-12-24 17:24:13,907 | BASE_ELEMENT | INFO | Getting locator with "data-testid=course-widget-title-text" at index "0"
2025-12-24 17:24:13,907 | BASE_ELEMENT | INFO | Checking that text "Title" has text "New Playwright"
2025-12-24 17:24:13,915 | BASE_ELEMENT | INFO | Getting locator with "data-testid=course-max-score-info-row-view-text" at index "0"
2025-12-24 17:24:13,915 | BASE_ELEMENT | INFO | Checking that text "Max score" is visible
2025-12-24 17:24:13,923 | BASE_ELEMENT | INFO | Getting locator with "data-testid=course-max-score-info-row-view-text" at index "0"
2025-12-24 17:24:13,923 | BASE_ELEMENT | INFO | Checking that text "Max score" has text "Max score: 1000"
2025-12-24 17:24:13,931 | BASE_ELEMENT | INFO | Getting locator with "data-testid=course-min-score-info-row-view-text" at index "0"
2025-12-24 17:24:13,931 | BASE_ELEMENT | INFO | Checking that text "Min score" is visible
2025-12-24 17:24:13,940 | BASE_ELEMENT | INFO | Getting locator with "data-testid=course-min-score-info-row-view-text" at index "0"
2025-12-24 17:24:13,940 | BASE_ELEMENT | INFO | Checking that text "Min score" has text "Min score: 100"
2025-12-24 17:24:13,949 | BASE_ELEMENT | INFO | Getting locator with "data-testid=course-estimated-time-info-row-view-text" at index "0"
2025-12-24 17:24:13,949 | BASE_ELEMENT | INFO | Checking that text "Estimated time" is visible
2025-12-24 17:24:13,957 | BASE_ELEMENT | INFO | Getting locator with "data-testid=course-estimated-time-info-row-view-text" at index "0"
2025-12-24 17:24:13,957 | BASE_ELEMENT | INFO | Checking that text "Estimated time" has text "Estimated time: 3 weeks"
